"Date","Loc","Daily_max_wind","Daily_min_wind","Daily_mean_wind","Daily_n_obs_wind","Daily_range_wind"
2019-01-01,"jlhaw",4.46,1.3,2.87135135135135,37,3.16
2020-01-01,"jlhaw",4.49,1.08,3.13243243243243,26,3.41
2021-01-01,"jlhaw",3.34,1.7,2.5636,37,1.64
2023-01-01,"jlhaw",2.7,0.06,1.29405405405405,37,2.64
2018-10-01,"jlhaw",2.03,0,0.845405405405405,37,2.03
2019-10-01,"jlhaw",2.06,0,0.600540540540541,25,2.06
2020-10-01,"jlhaw",3.71,0.35,2.02189189189189,37,3.36
2021-10-01,"jlhaw",2.1,0.01,0.917567567567568,37,2.09
2022-10-01,"jlhaw",4.74,1.71,3.12166666666667,37,3.03
2018-11-01,"jlhaw",4.29,0.01,2.69648648648649,37,4.28
2019-11-01,"jlhaw",5.95,1.92,3.595,37,4.03
2020-11-01,"jlhaw",3.89,1.08,2.37459459459459,37,2.81
2021-11-01,"jlhaw",3.91,0.26,2.60513513513514,37,3.65
2022-11-01,"jlhaw",3.61,0.45,1.92783783783784,37,3.16
2018-12-01,"jlhaw",1.64,0,0.335405405405405,37,1.64
2019-12-01,"jlhaw",4.95,0,2.15891891891892,37,4.95
2020-12-01,"jlhaw",7.2,3.75,5.31783783783784,37,3.45
2021-12-01,"jlhaw",3.06,0,1.21,36,3.06
2022-12-01,"jlhaw",5.69,1.74,3.79810810810811,37,3.95
2020-02-01,"jlhaw",2.35,0,1.08945945945946,37,2.35
2023-02-01,"jlhaw",4.61,2.37,3.68027027027027,37,2.24
2019-03-01,"jlhaw",5.12,1.8,3.63702702702703,36,3.32
2020-03-01,"jlhaw",3.46,0.07,1.78810810810811,37,3.39
2021-03-01,"jlhaw",4.66,0.21,2.17027027027027,37,4.45
2022-03-01,"jlhaw",3.08,0.03,0.830294117647059,37,3.05
2023-03-01,"jlhaw",2.83,0,1.41162162162162,37,2.83
2019-04-01,"jlhaw",6.06,1.8,3.71378378378378,37,4.26
2020-04-01,"jlhaw",6.19,3.35,4.89783783783784,35,2.84
2021-04-01,"jlhaw",7.56,3.8,5.88891891891892,37,3.76
2022-04-01,"jlhaw",6.32,2.39,4.5172972972973,37,3.93
2023-04-01,"jlhaw",9,5.88,7.12621621621622,37,3.12
2018-05-01,"jlhaw",3.45,0.01,1.39702702702703,37,3.44
2019-05-01,"jlhaw",4.63,0.85,3.06972972972973,37,3.78
2020-05-01,"jlhaw",6.13,2.89,4.36756756756757,37,3.24
2021-05-01,"jlhaw",4.43,0.68,2.88216216216216,37,3.75
2022-05-01,"jlhaw",4.7,0.37,3.0027027027027,37,4.33
2023-05-01,"jlhaw",7.62,4.23,5.96621621621622,37,3.39
2017-06-01,"jlhaw",2.93,0.14,1.15608695652174,37,2.79
2018-06-01,"jlhaw",3.03,0.26,1.48189189189189,36,2.77
2019-06-01,"jlhaw",4.8,0.11,2.39891891891892,37,4.69
2021-06-01,"jlhaw",2.67,0.01,0.980540540540541,37,2.66
2022-06-01,"jlhaw",3.18,0.19,1.61945945945946,37,2.99
2017-07-01,"jlhaw",3.44,1.93,2.62837837837838,37,1.51
2018-07-01,"jlhaw",3.12,0.37,1.68567567567568,37,2.75
2019-07-01,"jlhaw",3.99,1.03,2.32675675675676,37,2.96
2021-07-01,"jlhaw",5.66,2.97,4.55054054054054,37,2.69
2022-07-01,"jlhaw",5.2,0.3,2.13891891891892,37,4.9
2018-08-01,"jlhaw",4.44,1.53,3.28837837837838,37,2.91
2019-08-01,"jlhaw",1.69,0,0.425675675675676,35,1.69
2021-08-01,"jlhaw",5.24,0.14,2.25675675675676,37,5.1
2022-08-01,"jlhaw",6.06,2.03,3.4227027027027,37,4.03
2018-09-01,"jlhaw",3.47,0.15,1.42162162162162,37,3.32
2019-09-01,"jlhaw",3.67,1.16,2.52108108108108,37,2.51
2021-09-01,"jlhaw",7.05,3.34,5.31378378378378,34,3.71
2022-09-01,"jlhaw",3.89,0.8,2.47621621621622,37,3.09
2020-01-10,"jlhaw",2.3,0,0.641621621621622,37,2.3
2023-01-10,"jlhaw",3.27,0,1.27378378378378,37,3.27
2018-10-10,"jlhaw",3.04,0.59,1.61243243243243,37,2.45
